Neighborhood,Latitude,Longitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,pharmacie 115,48.861605,2.342158,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,City Pharma,48.85277134,2.33335961,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie des Bernardins,48.84907731871775,2.3533095765643064,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Saint-Placide,48.847343,2.326299,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Bailly,48.87550839081666,2.324219505707976,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Plus Pharmacie Bader,48.852453776599674,2.343392372131348,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie De Dunkerque,48.880984000000005,2.349689,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Lafayette,48.85993067631137,2.3486413002074142,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Le Roi de la Capote,48.86360475274337,2.371447853212066,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Bove,48.85760050344082,2.3237438697881423,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Monteux,48.85766011916821,2.322300822537414,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie de la Tour Saint Jacques,48.858445886973456,2.3499842794522596,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Du 58,48.864803,2.373691,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Pharm O'naturel,48.871733,2.360403,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,PHARMACIE SEVRES VANEAU,48.848209999999995,2.32017,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie du Canal Saint-Martin,48.87194118764875,2.3607657311577905,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Haussmann-Laborde,48.875271000000005,2.3169470000000003,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Vavin,48.84348096176711,2.3296512978024637,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Première,48.8606151057411,2.34937495653925,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Parafarmacie,48.865047,2.35446,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Rue Des Ecoles,48.847981,2.351604,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Selve,48.852272033691406,2.339258909225464,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Du Sentier,48.86648813552337,2.3520523066651498,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie des Arts Élysées,48.8729281004978,2.315863687545061,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Sakaré,48.85571939506649,2.334171167909048,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie des Capucines,48.86867,2.3296259999999998,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie,48.86589217248078,2.3470279250936903,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie rue des Écoles,48.849931,2.3434909999999998,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Lacroix,48.85342013931163,2.3413538049398492,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie de l'École de Médecine,48.851768,2.338693,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Cadet Lafayette,48.875955,2.343626,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Gay Lussac,48.8414865732193,2.3432207107543945,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Stéphanie Battino-Borgel,48.853713,2.3658080000000004,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Linné,48.843724,2.354893,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Saint Gilles,48.858331,2.364394,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Andarelli,48.8476430233665,2.3187110222201337,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,115 rue st honore,48.86167694932191,2.3422328807356467,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Notre-Dame,48.851250280583685,2.3482203483581543,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharmacie Monge,48.8425925055892,2.3519352078437805,Pharmacy
Saint-Germain-l'Auxerrois,48.859710000000064,2.3402400000000507,Pharma scie,48.84602668712664,2.3430480758584045,Pharmacy
