Quarters,Latitude,Longitude
Saint-Germain-l'Auxerrois,48.859710000000064,2.340240000000051
Les Halles,48.86319000000003,2.342010000000073
Palais-Royal,48.863500000000045,2.338760000000036
Place-Vendôme,48.86778000000004,2.3301100000000474
Gaillon,48.869020000000035,2.3344500111085558
Vivienne,48.87109994892962,2.341280062178989
Mail,48.84321995614296,2.322170080500852
Bonne-Nouvelle,48.87106000000006,2.3479100366437633
Arts-et-Métiers,48.81769380634804,2.3340533224475077
Enfants-Rouges,48.86294000000004,2.361239981678191
Archives,48.863570025535296,2.3608899233943887
Sainte-Avoye,48.86061042170753,2.356056113702135
Saint-Merri,48.85847000000007,2.350530000000049
Saint-Gervais,48.85480000000007,2.353930000000048
Arsenal,48.85361000000006,2.3660800000000677
Notre-Dame,48.85312999884621,2.348860049483026
Quartier Saint-Victor,48.84840110617736,2.350754544036743
Jardin-des-Plantes,48.84214000000003,2.355670000000032
Val-de-Grâce,48.84092000000004,2.3444300000000453
Sorbonne,48.84982000000008,2.344090000000051
Monnaie,48.85307000000006,2.343270000000075
Odéon,48.849140000000034,2.338640000000055
Notre-Dame-des-Champs,48.842460000000074,2.3347700000000486
Saint-Germain-des-Prés,48.853770000000054,2.33331000000004
Saint-Thomas-d'Aquin,48.856580000000065,2.326780000000042
Les Invalides,48.85837992671262,2.31288997446484
École-Militaire,48.85261000000003,2.303030000000035
Gros-Caillou,48.85838000000007,2.2990100000000666
Champs-Élysées,48.86906000000005,2.3099300000000653
Faubourg-du-Roule,48.876817692132214,2.299610696835724
La Madeleine,48.87001001832191,2.3249099477757778
Europe,48.88223000000005,2.325990000000047
Saint-Georges,48.87957997446483,2.3743400405389403
Chaussée-d'Antin,48.87375002553529,2.3329800366437707
Faubourg-Montmartre,48.87426085982095,2.342063353572085
Rochechouart,48.88282414754263,2.344555102469823
Saint-Vincent-de-Paul,48.878490000000056,2.35176000000007
Porte-Saint-Denis,48.869690054965616,2.352660069392343
Porte-Saint-Martin,48.869010080500885,2.355639948929597
Hôpital-Saint-Louis,48.87302994113934,2.3699699411393396
Folie-Méricourt,48.86471485042622,2.3712079772209123
Saint-Ambroise,48.86166242852898,2.3762897107503
La Roquette,48.85986083825819,2.388863294193945
Sainte-Marguerite,48.852670000000046,2.3810600000000477
Bel-Air,48.84824002553529,2.296919988891562
Picpus,48.84442003664376,2.4022700150037113
Bercy,48.834880000000055,2.3845900000000597
Quinze-Vingts,48.851369996104914,2.3722100000000523
Salpêtrière,48.835300000000075,2.3583000000000425
La Gare,48.858269970569694,2.2723299744648124
Maison-Blanche,48.82263001832194,2.3583900771826585
Croulebarbe,48.834580000000074,2.34495000000004
Montparnasse,48.84313000000003,2.321290000000033
Parc Montsouris,48.82441000000006,2.337780000000066
Petit-Montrouge,48.82642000000004,2.325200000000052
Plaisance,48.844550025535284,2.389940011108576
Saint-Lambert,48.841120000000046,2.2967700000000377
Necker,48.843289963356334,2.3137000693923686
Grenelle,48.84842000000003,2.2916400000000294
Javel,48.843870018321915,2.2861300438571446
Auteuil,48.846940000000075,2.2636600000000726
La Muette,48.85824766062805,2.2732074118352066
Porte-Dauphine,48.867530000000045,2.2802600000000552
Chaillot,48.868940000000066,2.2915100000000734
Les Ternes,48.87892002943042,2.2932500366437507
Plaine Monceau,48.87775995628951,2.310777005646033
Batignolles,48.88333000000006,2.3166700000000446
Épinettes,48.84296194242569,2.325297507865362
Grandes-Carrières,48.89088000000004,2.3310200000000236
Clignancourt,48.90098768378738,2.347675290531595
Goutte-d'Or,48.88501007660573,2.354129959461189
La Chapelle,48.8841499928673,2.357095071563851
La Villette,48.888190000000066,2.3752900000000636
Pont-de-Flandre,48.89437000000004,2.3815300000000548
Amérique,46.839450000000056,0.5846200000000294
Combat,44.58880000000005,0.016000000000019554
Belleville,48.87018000000006,2.384230000000059
Saint-Fargeau,48.87155113377051,2.4039895849180293
Père-Lachaise,48.859890000000064,2.389020000000073
Charonne,48.86020000000008,2.4041900000000282
